Country,Clicks,Impressions,CTR,Position
Equatorial Guinea,1,26,3.85%,7.04
São Tomé & Príncipe,1,17,5.88%,7.88
North Korea,1,16,6.25%,6.19
Palau,1,16,6.25%,7.12
St. Helena,1,7,14.29%,8.71
Guadeloupe,0,108,0%,9.5
Dominica,0,83,0%,7.45
British Virgin Islands,0,78,0%,6.04
Caribbean Netherlands,0,46,0%,7.7
American Samoa,0,40,0%,6.88
Comoros,0,36,0%,5.67
New Caledonia,0,35,0%,11
Åland Islands,0,33,0%,6.7
Anguilla,0,28,0%,7.39
French Guiana,0,27,0%,7.89
Kiribati,0,26,0%,8.12
Central African Republic,0,23,0%,9.13
Mayotte,0,16,0%,11.69
Tonga,0,15,0%,7.6
Micronesia,0,14,0%,7.43
Marshall Islands,0,11,0%,7.36
Cook Islands,0,10,0%,6.9
Eritrea,0,10,0%,14.8
Svalbard & Jan Mayen,0,6,0%,5.5
Falkland Islands,0,5,0%,5.6
Tuvalu,0,5,0%,7.6
St. Barthélemy,0,4,0%,7.5
Montserrat,0,4,0%,7.75
St. Pierre & Miquelon,0,4,0%,9.75
Antarctica,0,3,0%,9.67
Nauru,0,2,0%,10
Niue,0,1,0%,1
Norfolk Island,0,1,0%,4
